,Vaccine,Year,Coverage
1243,Inside MSA:,2016,
1244,Principal city,2016,92.0
1245,Nonprincipal city,2016,93.4
1246,Outside MSA,2016,91.1
1247,"Measles, mumps, rubella (1 dose or more)\6",2016,
1248,Total,2016,90.8
1249,Not Hispanic or Latino\2:,2016,
1250,White only,2016,90.2
1251,Black or African American only,2016,90.5
1252,American Indian or Alaska Native only,2016,86.0
1253,Asian only,2016,93.4
1254,Native Hawaiian or Other Pacific Islander only,2016,
1255,2 or more races,2016,91.7
1256,Hispanic or Latino\2,2016,91.6
1257,Poverty level\3:,2016,
1258,Below poverty,2016,88.0
1259,At or above poverty,2016,91.7
1260,Location of residence\4:,2016,
1261,Inside MSA:,2016,
1262,Principal city,2016,90.5
1263,Nonprincipal city,2016,91.5
1264,Outside MSA,2016,89.2
1265,Hib (full series)\7,2016,
1266,Total,2016,80.0
1267,Not Hispanic or Latino\2:,2016,
1268,White only,2016,81.7
1269,Black or African American only,2016,76.2
1270,American Indian or Alaska Native only,2016,
1271,Asian only,2016,81.4
1272,Native Hawaiian or Other Pacific Islander only,2016,
1273,2 or more races,2016,80.9
1274,Hispanic or Latino\2,2016,78.6
1275,Poverty level\3:,2016,
1276,Below poverty,2016,71.9
1277,At or above poverty,2016,83.3
1278,Location of residence\4:,2016,
1279,Inside MSA:,2016,
1280,Principal city,2016,79.2
1281,Nonprincipal city,2016,81.9
1282,Outside MSA,2016,75.9
1283,Hepatitis A (2 doses or more),2016,
1284,Total,2016,76.2
1285,Not Hispanic or Latino\2:,2016,
1286,White only,2016,76.2
1287,Black or African American only,2016,73.2
1288,American Indian or Alaska Native only,2016,
1289,Asian only,2016,78.4
1290,Native Hawaiian or Other Pacific Islander only,2016,
1291,2 or more races,2016,72.9
1292,Hispanic or Latino\2,2016,78.3
1293,Poverty level\3:,2016,
1294,Below poverty,2016,74.4
1295,At or above poverty,2016,77.2
1296,Location of residence\4:,2016,
1297,Inside MSA:,2016,
1298,Principal city,2016,76.8
1299,Nonprincipal city,2016,76.7
1300,Outside MSA,2016,71.3
1301,Hepatitis B (3 doses or more),2016,
1302,Total,2016,91.4
1303,Not Hispanic or Latino\2:,2016,
1304,White only,2016,92.2
1305,Black or African American only,2016,90.2
1306,American Indian or Alaska Native only,2016,87.6
1307,Asian only,2016,91.4
1308,Native Hawaiian or Other Pacific Islander only,2016,
1309,2 or more races,2016,91.9
1310,Hispanic or Latino\2,2016,90.6
1311,Poverty level\3:,2016,
1312,Below poverty,2016,89.6
1313,At or above poverty,2016,92.2
1314,Location of residence\4:,2016,
1315,Inside MSA:,2016,
1316,Principal city,2016,90.5
1317,Nonprincipal city,2016,92.4
1318,Outside MSA,2016,91.3
1319,Varicella (1 dose or more)\6,2016,
1320,Total,2016,90.3
1321,Not Hispanic or Latino\2:,2016,
1322,White only,2016,89.2
1323,Black or African American only,2016,90.6
1324,American Indian or Alaska Native only,2016,83.2
1325,Asian only,2016,92.1
1326,Native Hawaiian or Other Pacific Islander only,2016,
1327,2 or more races,2016,90.9
1328,Hispanic or Latino\2,2016,91.9
1329,Poverty level\3:,2016,
1330,Below poverty,2016,87.6
1331,At or above poverty,2016,91.3
1332,Location of residence\4:,2016,
1333,Inside MSA:,2016,
1334,Principal city,2016,90.2
1335,Nonprincipal city,2016,90.8
1336,Outside MSA,2016,88.7
1337,"Pneumococcal conjugate vaccine 
(4 doses or more)\8",2016,
1338,Total,2016,81.4
1339,Not Hispanic or Latino\2:,2016,
1340,White only,2016,83.9
1341,Black or African American only,2016,74.6
1342,American Indian or Alaska Native only,2016,
1343,Asian only,2016,80.4
1344,Native Hawaiian or Other Pacific Islander only,2016,
1345,2 or more races,2016,80.8
1346,Hispanic or Latino\2,2016,81.0
1347,Poverty level\3:,2016,
1348,Below poverty,2016,72.1
1349,At or above poverty,2016,85.0
1350,Location of residence\4:,2016,
1351,Inside MSA:,2016,
1352,Principal city,2016,80.5
1353,Nonprincipal city,2016,83.3
1354,Outside MSA,2016,78.0
1355,Rotavirus vaccine\9,2016,
1356,Total,2016,75.1
1357,Not Hispanic or Latino\2:,2016,
1358,White only,2016,79.0
1359,Black or African American only,2016,64.9
1360,American Indian or Alaska Native only,2016,
1361,Asian only,2016,76.4
1362,Native Hawaiian or Other Pacific Islander only,2016,
1363,2 or more races,2016,74.0
1364,Hispanic or Latino\2,2016,73.3
1365,Poverty level\3:,2016,
1366,Below poverty,2016,64.0
1367,At or above poverty,2016,79.6
1368,Location of residence\4:,2016,
1369,Inside MSA:,2016,
1370,Principal city,2016,74.2
1371,Nonprincipal city,2016,77.2
1372,Outside MSA,2016,70.3
1373,"* Estimates are considered unreliable. Percentages are not shown if the unweighted sample size for the denominator is less than 30, the confidence interval half-width divided by the estimate is greater than 58.8%, or the confidence interval half-width is greater than 10.
\1Consists of: 1) 4 or more doses of diphtheria, tetanus toxoids, and pertussis vaccine (DTP), diphtheria and tetanus toxoids vaccine (DT), or diphtheria, tetanus toxoids, and acellular pertussis vaccine (DTaP); 2) 3 or more doses of any poliovirus vaccine; 3) 1 or more doses of a measles-containing vaccine (MCV); 4) 3 or more doses or 4 or more doses of Haemophilus influenzae type b vaccine (Hib), depending on Hib vaccine product type (full series Hib); 5) 3 or more doses of hepatitis B vaccine; 6) 1 or more doses of varicella vaccine; and 7) 4 or more doses of pneumococcal conjugate vaccine (PCV). 
\2People of Hispanic origin may be of any race. Estimates are tabulated using the 1997 “Revisions to the Standards for the Classification of Federal Data on Race and Ethnicity.” See Sources and Definitions, Hispanic origin; Race.
\3Based on family income and family size using U.S. Census Bureau poverty thresholds. See Sources and Definitions, Family income; Poverty. 
\4MSA is metropolitan statistical area. MSAs are defined based on the U.S. Office of Management and Budget delineation files. See Sources and Definitions, Metropolitan statistical area (MSA).
\5Includes diphtheria, tetanus toxoids, and pertussis vaccine (DTP), diphtheria and tetanus toxoids vaccine (DT), or diphtheria, tetanus toxoids, and acellular pertussis vaccine (DTaP).
\6Includes children who may have been vaccinated with at least 1 dose of measles, mumps, rubella, and varicella combination vaccine. 
\7Haemophilus influenzae type b vaccine (Hib) full series includes the primary series and booster doses, consisting of 3 or more or 4 or more doses depending on the product type received. 
\8PCV is pneumococcal conjugate vaccine. 
\9Includes 2 or more or 3 or more doses depending on the product type received.",2016,
1374,"NOTES: Vaccination coverage estimates are based on provider-verified responses from parents who live in households with telephones. Data for birth year are based on the 3 subsequent survey years. For example, 2010 birth year data are based on 2011, 2012, and 2013 survey data. Starting in 2018, National Immunization Surveys shifted from a dual (landline and cell phone) sampling frame to a single (cell phone) sampling frame design. See Sources and Definitions, National Immunization Surveys (NIS); Vaccination. Additional information on childhood immunizations is available from: https://www.cdc.gov/vaccines/schedules/index.html. Due to methodological changes to report coverage by birth year, data analysis methods have been revised and differ from previous editions of Health, United States.",2016,
1375,"SOURCE: National Center for Immunization and Respiratory Diseases (NCIRD), National Immunization Survey–Child.  Available from: https://www.cdc.gov/vaccines/imz-managers/coverage/childvaxview/index.html. See Sources and Definitions, National Immunization Surveys (NIS).",2016,
